name,age,develops_in,cost,build_time,applies_to,description,image,civ,type,expansion
Manipur Cavalry,Castle,Castle,"{""Food"": 300, ""Gold"": 300}",40,Cavalry;Arambai,Cavalry deals +4 bonus attack vs. archers,unique-tech-imperial,Burmese,Unique,Rise of the Rajas
Marauders,Castle,Castle,"{""Wood"": 300, ""Gold"": 200}",40,Stables,Tarkans can be trained at the Stable,unique-tech-castle,Huns,Unique,The Forgotten
Masonry,Castle,University,"{""Food"": 150, ""Wood"": 175}",50,Buildings;Tower,"Buildings +10% HP, +1/+1 armor, and +3 building armor",masonry,,Other,Age of Kings
Medical Corps,Castle,Castle,"{""Food"": 300, ""Gold"": 200}",-1,Elephant Units,Elephant units regenerate 30 HP per minute,unique-tech-castle,Dravidians,Unique,Dynasties of India
Murder Holes,Castle,University,"{""Food"": 200, ""Stone"": 100}",35,Castle;Tower,Eliminates minimum range of all buildings,murder-holes,,Other,Age of Kings
Nomads,Castle,Castle,"{""Wood"": 300, ""Gold"": 150}",40,Houses,Houses do not lose population when destroyed,unique-tech-castle,Mongols,Unique,The Forgotten
Obsidian Arrows,Castle,Castle,"{""Food"": 300, ""Gold"": 300}",40,Archers,Archer line has +6 attack vs standard buildings and stone defenses,unique-tech-castle,Mayans,Unique,The Forgotten
Onager,Imperial,Siege Workshop,"{""Food"": 800, ""Gold"": 500}",75,Mangonel,Upgrade to Onager,onager,,Unit,Age of Kings
Padded Archer Armor,Feudal,Blacksmith,"{""Food"": 100}",40,Archer;Cavalry Archer;Skirmisher;Hand Cannoneer;Conquistador,Archer and Cavalry Archer armor +1/+1,padded-archer-armor,,Other,Age of Kings
Paiks,Castle,Castle,"{""Wood"": 375, ""Gold"": 275}",45,Rathas;Elephant Units,Rathas and elephant units attack 20% faster,unique-tech-castle,Bengalis,Unique,Dynasties of India
Paladin,Imperial,Stable,"{""Food"": 1300, ""Gold"": 750}",170,Cavalier,Upgrade to Paladin,paladin,,Unit,Age of Kings
Panokseon,Castle,Castle,"{""Food"": 300,""Wood"": 300}",40,Turtle Ships,Turtle Ships move 15% faster,unique-tech-castle,Koreans,Unique,The Forgotten
Paper Money,Imperial,Castle,"{""Food"": 550,""Wood"": 200}",60,Player,Lumberjacks generate 0.014 gold (0.023 gold when fully upgraded) per second while gathering wood,unique-tech-imperial,Vietnamese,Unique,Rise of the Rajas
Parthian Tactics,Imperial,Archery Range,"{""Food"":200, ""Gold"": 250}",65,Cavalry Archer;Mangudai,Cavalry Archers +1/+2 armor and increased attack vs Pikemen,unique-tech-imperial,,Other,Age of Kings
Pavise,Castle,Castle,"{""Food"": 200, ""Gold"": 150}",40,Foot Archers,Foot archers +1/+1 armor,unique-tech-castle,Italians,Unique,The Forgotten
Perfusion,Imperial,Castle,"{""Food"": 400, ""Gold"": 600}",40,Goths;Barracks,Barracks work 2x faster,unique-tech-imperial,Goths,Unique,Age of Kings
Pikeman,Castle,Barracks,"{""Food"": 160, ""Gold"": 90}",35,Spearman,Upgrade to Spearman,pikeman,,Unit,Age of Kings
Plate Barding Armor,Imperial,Blacksmith,"{""Food"":350,""Gold"":200}",75,Cavalry,Cavalry armor +1/+2,plate-barding-armor,,Other,Age of Kings
Plate Mail Armor,Imperial,Blacksmith,"{""Food"": 300, ""Gold"": 150}",70,Infantry,Infantry armor +1/+2,plate-mail-armor,,Other,Age of Kings
Recurve Bow,Imperial,Castle,"{""Wood"": 600, ""Gold"": 400}",40,Cavalry Archers,Cavalry Archers +1 range and attack,unique-tech-imperial,Magyars,Unique,The Forgotten
Redemption,Castle,Monastery,"{""Gold"": 475}",50,Monks,Monks can convert most buildings and siege units,redemption,,Other,Age of Kings
Ring Archer Armor,Imperial,Blacksmith,"{""Food"": 250, ""Gold"": 250}",70,Archer;Cavalry Archer;Skirmisher;Hand Cannoneer;Conquistador,Archer and Cavalry Archer armor +1/+2,ring-archer-armor,,Other,Age of Kings
Rocketry,Imperial,Castle,"{""Food"": 600, ""Gold"": 600}",60,Chinese;Chu Ko Nu;Scorpion,Chu Ko Nu +2 pierce damage and Scorpion +4 pierce,unique-tech-imperial,Chinese,Unique,Age of Kings
Royal Heirs,Castle,Castle,"{""Food"": 300, ""Gold"": 300}",40,Shotel Warriors,Shotels and Camel units receive -3 damage from Mounted Units,unique-tech-castle,Ethiopians,Unique,The African Kingdoms
Sanctity,Castle,Monastery,"{""Gold"": 175}",60,Monks,Monks +15 health points,sanctity,,Other,Age of Kings
Sappers,Imperial,Castle,"{""Food"": 400, ""Wood"": 200}",10,Villagers,Villagers +15 attack vs buildings and +3 attack vs Rams,unique-tech-imperial,,Other,Age of Kings
Scale Barding Armor,Feudal,Blacksmith,"{""Food"": 150}",45,Cavalry,Cavalry armor +1/+1,scale-barding-armor,,Other,Age of Kings
Scale Mail Armor,Feudal,Blacksmith,"{""Food"": 100}",40,Infantry,Infantry armor +1/+1,scale-mail-armor,,Other,Age of Kings
Shatagni,Imperial,Castle,"{""Food"": 500, ""Gold"": 300}",40,Hand Cannoneers,Hand Cannoneers +2 range,unique-tech-imperial,Hindustanis,Unique,The Forgotten
Shinkichon,Imperial,Castle,"{""Food"": 800, ""Gold"": 500}",60,Koreans;Mangonel,Mangonel line +1 range,unique-tech-imperial,Koreans,Unique,The Conquerors
Shipwright,Imperial,Dock,"{""Gold"": 300, ""Food"": 1000}",60,Ships,Ships wood cost -20% and creation speed +54%,shipwright,,Other,Age of Kings
Siege Elephant,Imperial,Siege Workshop,"{""Food"": 850}",60,Armored Elephants,Upgrade to Armored Elephants,siege-elephant,,Unit,Dynasties of India
Siege Engineers,Imperial,University,"{""Food"":500,""Wood"": 600}",45,Siege Weapons,Siege weapons +1 range (except Rams) and +20% attack vs buildings (Petards +40%),siege-engineers,,Other,Age of Kings
Siege Onager,Imperial,Siege Workshop,"{""Food"": 1450, ""Gold"": 1000}",150,Onager,Upgrade to Siege Onager,siege-onager,,Unit,Age of Kings
Siege Ram,Imperial,Siege Workshop,"{""Food"": 1000}",75,Capped Ram,Upgrade to Siege Ram,siege-ram,,Unit,Age of Kings
Silk Armor,Castle,Castle,"{""Wood"": 400, ""Gold"": 300}",40,Scout Cavalry;Cavalry Archers,Scout Cavalry line and Cavalry Archers +1 pierce armor,unique-tech-castle,Tatars,Unique,The Last Khans
Silk Road,Imperial,Castle,"{""Food"": 500, ""Gold"": 250}",60,Trade Units,Trade unit cost halved,unique-tech-imperial,Italians,Unique,The Forgotten
Sipahi,Castle,Castle,"{""Food"": 350, ""Gold"": 150}",60,Cavalry Archers,Cavalry Archers +20 HP,unique-tech-castle,Turks,Unique,The Forgotten
Spies,Imperial,Castle,"{""Gold"": 200}",1,Random map games,Show enemy line of sight,spies-treason,,Other,Age of Kings
Squires,Castle,Barracks,"{""Food"": 100}",40,Infantry,Infantry speed +10%,squires,,Other,Age of Kings
Steppe Husbandry,Castle,Castle,"{""Food"": 200, ""Wood"": 300}",40,Scout Cavalry;Cavalry Archers,Scout Cavalry line and Cavalry Archers are created 80% faster,unique-tech-castle,Cumans,Unique,The Last Khans
Stirrups,Castle,Castle,"{""Food"": 400, ""Gold"": 200}",40,Scout Cavalry;Konniks,Scout Cavalry line and Konniks attack 25% faster,unique-tech-castle,Bulgarians,Unique,Definitive Edition
Stone Mining,Feudal,Mining Camp,"{""Food"": 100, ""Wood"": 75}",30,Stone Miners,Villagers mine stone 15% faster,stone-mining,,Other,Age of Kings
Stone Shaft Mining,Castle,Mining Camp,"{""Food"": 175, ""Wood"": 75}",75,Stone Miners,Villagers mine stone 15% faster,stone-shaft-mining,,Other,Age of Kings
Stronghold,Castle,Castle,"{""Food"": 250, ""Gold"": 200}",30,Castle;Towers,Castles and towers fire 33% faster & heals allied infantry near castles by 30 HP per minute,unique-tech-castle,Celts,Unique,The Forgotten
Svan Towers,Castle,Castle,"{""Wood"": 300, ""Gold"": 200}",45,Defensive Buildings,Defensive buildings +2 attack & Towers fire arrows that pierce multiple units,unique-tech-castle,Georgians,Unique,The Mountain Royals
Sultans,Castle,Castle,"{""Food"": 400, ""Wood"": 400}",40,Gold Miners;Relics;Trading,All gold gathering is 10% faster,unique-tech-castle,Indians,Unique,The Forgotten
Supplies,Feudal,Barracks,"{""Food"": 75, ""Gold"": 75}",20,Militia line,Militia line cost -15 food,supplies,,Other,Definitive Edition
Supremacy,Imperial,Castle,"{""Food"": 400, ""Gold"": 250}",60,Spanish;Villager,"Villagers +6 attack, +40 hit points and +2/+2 armor",unique-tech-imperial,Spanish,Unique,The Conquerors
Szlachta Privileges,Castle,Castle,"{""Food"": 500, ""Gold"": 300}",45,Knight-line,Reduces the gold cost of Knight-line units by 60%,unique-tech-castle,Poles,Unique,Dawn of the Dukes
Thalassocracy,Castle,Castle,"{""Food"": 300, ""Gold"": 300}",40,Docks,Turns Docks into Harbors,unique-tech-castle,Malay,Unique,Rise of the Rajas
Theocracy,Imperial,Monastery,"{""Gold"": 200}",75,Monks,Only one Monk in a group must rest after a conversion,theocracy,,Other,Age of Kings
Thumb Ring,Castle,Archery Range,"{""Food"": 300, ""Wood"": 250}",45,Archer;Cavalry Archer,Archers and Cavalry Archers fire faster and with 100% accuracy. Slingers +17% attack speed.,thumb-ring,,Other,Age of Kings
Tigui,Castle,Castle,"{""Food"": 200, ""Wood"": 300}",40,Town Centers,Town Centers fire arrows even when not garrisoned. They also fire 8 additional arrows,unique-tech-castle,Malians,Unique,The African Kingdoms
Timurid Siegecraft,Imperial,Castle,"{""Wood"": 400, ""Gold"": 500}",40,Trebuchets,Trebuchets +1 range,unique-tech-imperial,Tatars,Unique,The Last Khans
Torsion Engines,Imperial,Castle,"{""Food"": 1000, ""Gold"": 300}",40,Siege Units,Siege Workshop units blast radius increased,unique-tech-imperial,Ethiopians,Unique,The African Kingdoms
Tower Shields,Imperial,Castle,"{""Food"": 800, ""Gold"": 200}",40,Spearman;Skirmisher,Spearman and Skirmisher lines +1 pierce armor,unique-tech-imperial,Lithuanians,Unique,The Last Khans
Town Patrol,Castle,Town Center,"{""Food"": 300, ""Gold"": 100}",40,Buildings;Towers,+4 Line of sight,town-patrol,,Other,Age of Kings
Town Watch,Feudal,Town Center,"{""Food"": 75}",25,Buildings;Towers,+4 Line of sight,town-watch,,Other,Age of Kings
Treadmill Crane,Castle,University,"{""Food"": 300, ""Wood"": 200}",50,Builder,Villagers build 20% faster,treadmill-crane,,Other,Age of Kings
Treason,Imperial,Castle,"{""Gold"": 400}",1,Regicide games,See enemy Kings for a short time (Regicide only),spies-treason,,Other,Age of Kings
Tusk Swords,Castle,Castle,"{""Wood"": 200, ""Gold"": 300}",40,Battle Elephants,Battle Elephants +3 attack,unique-tech-castle,Khmer,Unique,Rise of the Rajas
Two Handed Swordsman,Imperial,Barracks,"{""Food"": 300, ""Gold"": 100}",60,Long Swordman,Upgrade to Long Swordsman,two-handed-swordsman,,Unit,Age of Kings
Two Man Saw,Imperial,Lumber Camp,"{""Wood"": 200, ""Food"": 300}",100,Wood Chopper,Villagers chop wood 10% faster,two-man-saw,,Other,Age of Kings
Wagenburg Tactics,Castle,Castle,"{""Food"": 300, ""Gold"": 300}",45,Gunpowder Units,Gunpowder units move 15% faster,unique-tech-castle,Bohemians,Unique,Dawn of the Dukes
War Galley,Castle,Dock,"{""Food"": 230, ""Gold"": 100}",50,Galley,Upgrade to War Galley,war-galley,,Unit,Age of Kings
Warwolf,Imperial,Castle,"{""Wood"": 800, ""Gold"": 400}",40,Trebuchets,"Trebuchets do blast damage, 100% accuracy against units",unique-tech-imperial,Britons,Unique,The Forgotten
Wheelbarrow,Feudal,Town Center,"{""Food"": 175, ""Wood"": 50}",75,Villagers,"Villager speed +10%, carrying capacity +25%",wheelbarrow,,Other,Age of Kings
Wootz Steel,Imperial,Castle,"{""Food"": 750, ""Gold"": 600}",-1,Infantry and Cavalry,Infantry and cavalry attacks ignore armor,unique-tech-imperial,Dravidians,Unique,Dynasties of India
Yasama,Castle,Castle,"{""Food"": 300, ""Wood"": 300}",40,Towers,Towers fire 2 extra arrows,unique-tech-castle,Japanese,Unique,The Forgotten
Yeomen,Imperial,Castle,"{""Food"": 750, ""Gold"": 450}",60,Britons;Foot Archer;Skirmisher;Tower,Foot archers and skirmishers +1 range +1 line of sight and Towers +2 attack,unique-tech-castle,Britons,Unique,Age of Kings
