name,description,age,created_in,cost,build_time,reload_time,attack_delay,movement_rate,line_of_sight,hit_points,min_range,max_range,attack,melee_armor,ranged_armor,attack_bonus,armor_bonus,special,search_radius,accuracy,blast_radius,image,type,armor_class,expansion
Elite Konnik (Dismounted),Bulgarian unique cavalry unit that fights on as infantry when felled. Strong vs. infantry and archers. Weak vs. Camel Riders and Monks.,Imperial,N/A,{},N/A,2.4,0,0.9,3,50,0,0,13,2,2,"[{""amount"": 4, ""against"": ""Standard Buildings""}]",,,-1,100,0,konnik-dismounted,Military,Infantry;Unique Unit,Definitive Edition
Elite Leitis,Lithuanian unique cavalry unit with attack that ignores armor. Each captured relic adds +1 damage (max 4). Strong vs. armored units.,Imperial,Castle,"{""Food"": 50,""Gold"": 80}",20,1.9,0,1.4,5,130,0,0,14,2,2,,,Attacks ignore armor of non-siege land units,4,100,0,leitis,Military,Cavalry;Unique Unit,Definitive Edition
Elite Longboat,"Viking unique ship that fires multiple arrows. Strong vs. War Galleys, land units, and buildings.",Imperial,Dock,"{""Wood"": 80,""Gold"": 40}",25,3,0,1.54,9,160,0,7,8,0,8,"[{""amount"": 7, ""against"": ""Buildings""}, {""amount"": 10, ""against"": ""Ships""}, {""amount"": 4, ""against"": ""Rams""}]",,,9,100,0,longboat,Navy,Ship;Unique Unit,Age of Kings
Elite Longbowman,British unique archer with very long range. Strong vs. infantry. Weak vs. cavalry and Skirmishers.,Imperial,Castle,"{""Wood"": 35,""Gold"": 40}",19,2,0.35,0.96,8,40,0,6,7,0,1,"[{""amount"": 2, ""against"": ""Spearmen""}]",,,8,80,0,longbowman,Military,Archer;Unique Unit,Age of Kings
Elite Magyar Huszar,Byzantine unique cavalry unit. Strong vs. infantry. Weak vs. archers.,Imperial,Castle,"{""Food"": 35,""Gold"": 45}",14,1.8,0,1.5,6,85,0,0,10,0,2,,,,4,100,0,magyar-huszar,Military,Cavalry;Unique Unit,Definitive Edition
Elite Mameluke,Saracen unique camel unit with ranged melee attack. Strong vs. cavalry. Weak vs. archers.,Imperial,Castle,"{""Food"": 55,""Gold"": 85}",23,2,0,1.4,5,90,0,3,10,1,0,"[{""amount"": 12, ""against"": ""Cavalry""}]","[{""amount"": 11, ""against"": ""Cavalry""}]",,5,100,0,mameluke,Military,Mameluke;Camel;Unique Unit,Age of Kings
Elite Mangudai,"Mongol unique cavalry archer with fast-firing attack. Strong vs. siege weapons and infantry. Weak vs. Skirmishers, Pikemen, and Camel Riders.",Imperial,Castle,"{""Wood"": 55,""Gold"": 65}",26,1.68,0,1.45,6,60,0,4,8,0,1,"[{""amount"": 5, ""against"": ""Siege""}, {""amount"": 1, ""against"": ""Spearmen""}]",,,6,95,0,mangudai,Military,Archer;Cavalry Archer;Cavalry;Unique Unit,Age of Kings
Elite Monaspa,The Monaspa is the unique cavalry unit of the Georgians,Castle,Castle,"{""Food"": 60,""Gold"": 45}",11,1.8,0,1.4,5,90,0,0,14,5,2,,,Receive +1 (max +4) attack for every 5 own Monaspas or Knights within 15 tiles,-1,100,0,monaspa,Military,Cavalry;Unique Unit,The Mountain Royals
Elite Obuch,Polish unique infantry unit which can damage the armor of units it is fighting. Strong vs. buildings and infantry. Weak vs. archers at long range.,Imperial,Castle,"{""Food"": 55,""Gold"": 20}",12,2,0,0.9,3,95,0,0,10,2,2,"[{""amount"": 3, ""against"": ""Eagle Warrior""}, {""amount"": 6, ""against"": ""Standard Buildings""}]",,Reduces armor and pierce armor of units by 1 each with every attack,-1,100,0,obuch,Military,Infantry;Unique Unit,Dawn of the Dukes
Elite Organ Gun,Portuguese unique siege unit. Fires a volley of bullets. Strong vs. large groups of units. Weak vs. cavalry and Mangonels.,Imperial,Castle,"{""Wood"": 80,""Gold"": 56}",21,3.45,0.6,0.85,9,70,1,7,9,2,6,"[{""amount"": 1, ""against"": ""Infantry""}, {""amount"": 1, ""against"": ""Ram""}, {""amount"": 1, ""against"": ""Skirmisher""}, {""amount"": 1, ""against"": ""Buildings""}]",,"Fires 6 bullets in a spread pattern that can hit multiple enemies. It is more effective against large groups of units, because the multiple bullets disperse in a small cone, hitting multiple units.",9,0,0,organ-gun,Military,Siege Weapon;Gunpowder Unit;Unique Unit,Age of Empires II HD: The African Kingdoms
Elite Plumed Archer,Mayan unique fast-moving archer. Strong vs. archers and infantry. Weak vs. cavalry.,Imperial,Castle,"{""Wood"": 32,""Gold"": 32}",16,1.9,0.5,1.2,6,65,0,5,5,0,2,"[{""amount"": 2, ""against"": ""Infantry""}, {""amount"": 2, ""against"": ""Spearmen""}]",,,6,90,0,plumed-archer,Military,Archer;Unique Unit,The Conquerors
Elite Ratha (Melee),Bengali unique chariot that can switch between melee and ranged attacks. Strong vs. infantry. Weak vs. Skirmishers and Camel Riders.,Imperial,Castle,"{""Wood"": 60,""Gold"": 60}",18,2,0.33,1.3,6,115,0,0,12,2,1,,,Can switch between melee and ranged attack modes,-1,100,0,ratha-melee,Military,Archer;Cavalry Archer;Cavalry;Unique Unit,Dynasties of India
Elite Ratha (Ranged),Bengali unique chariot that can switch between melee and ranged attacks. Strong vs. infantry. Weak vs. Skirmishers and Camel Riders.,Imperial,Castle,"{""Wood"": 60,""Gold"": 60}",18,2,0.33,1.3,6,115,0,4,6,2,1,,,Can switch between melee and ranged attack modes,-1,90,0,ratha-ranged,Military,Archer;Cavalry Archer;Cavalry;Unique Unit,Dynasties of India
Elite Rattan Archer,Vietnamese unique archer with high pierce armor. Strong vs. archers and infantry. Weak vs. cavalry and Skirmishers.,Imperial,Castle,"{""Wood"": 50,""Gold"": 45}",16,2,0,1.1,6,45,0,4,7,0,6,"[{""amount"": 2, ""against"": ""Spearmen""}]",,,6,90,0,rattan-archer,Military,Archer;Unique Unit,Age of Empires II HD: Rise of the Rajas
Elite Samurai,Japanese unique infantry unit with fast attack. Strong vs. unique units and infantry. Weak vs. archers.,Imperial,Castle,"{""Food"": 50,""Gold"": 30}",9,1.9,0,1,5,80,0,0,12,1,1,"[{""amount"": 3, ""against"": ""Eagles""}, {""amount"": 3, ""against"": ""Buildings""}, {""amount"": 12, ""against"": ""Unique Units""}]",,,4,100,0,samurai,Military,Infantry;Unique Unit,Age of Kings
Elite Serjeant,Sicilian unique infantry unit which can construct Donjons.,Imperial,Castle;Donjon,"{""Food"": 50,""Gold"": 35}",12,2,0,0.9,5,85,0,0,11,4,4,"[{""amount"": 3, ""against"": ""Eagle Warrior""}, {""amount"": 3, ""against"": ""Standard Buildings""}]",,Can build and repair Donjons. Stats improve on each age up. Build/repair 25% slower in Feudal Age.,-1,100,0,serjeant,Military,Infantry;Unique Unit,Lords of the West
Elite Shotel Warrior,Ethiopian unique infantry with high attack and fast training speed. Fast-moving. Strong vs. infantry. Weak vs. archers.,Imperial,Castle,"{""Food"": 50,""Gold"": 35}",4,2,0,1.2,3,50,0,0,18,0,1,,,,3,100,0,shotel-warrior,Military,Infantry;Unique Unit,Definitive Edition
Elite Shrivamsha Rider,Gurjara unique light cavalry unit which can dodge projectiles. Will not dodge splash damage. Strong vs. archers. Weak vs. Pikemen and Camel Riders.,Imperial,Stable,"{""Food"": 70,""Gold"": 30}",20,2,0,1.6,6,70,0,0,11,0,1,,,"Can ""dodge"" five (seven for Elite) consecutive projectiles in a 20 second time frame",-1,100,0,shrivamsha-rider,Military,Cavalry;Unique Unit,Dynasties of India
Elite Skirmisher,Ranged anti-archer unit that cannot attack at close range. Strong vs. archers. Weak vs. units at close range.,Castle,Archery Range,"{""Food"": 25,""Wood"": 35}",22,3,0.5,0.96,7,35,1,5,3,0,4,"[{""amount"": 4, ""against"": ""Archers""}, {""amount"": 4, ""against"": ""Hand Cannoneers""}, {""amount"": 4, ""against"": ""Conquistadors""}, {""amount"": 4, ""against"": ""Skirmishers""}, {""amount"": 5, ""against"": ""Spearmen""}, {""amount"": 6, ""against"": ""Cavalry Archers""}]",,,7,90,0,elite-skirmisher,Military,Archer,Age of Kings
Elite Steppe Lancer,Light cavalry unit with increased attack range. Strong in groups. Weak vs. Camel Riders and archers.,Imperial,Stable,"{""Food"": 70,""Gold"": 45}",20,2.3,0,1.45,5,80,0,1,10,0,2,,,,4,100,0,elite-steppe-lancer,Military,Cavalry,Definitive Edition
Elite Tarkan,Hunnic unique cavalry unit with attack bonus vs. buildings. Strong vs. buildings and archers. Weak vs. Pikemen and Camel Riders.,Imperial,Castle,"{""Food"": 60,""Gold"": 60}",14,2.1,0,1.35,7,150,0,0,11,1,4,"[{""amount"": 10, ""against"": ""Buildings""}, {""amount"": 10, ""against"": ""Castle""}, {""amount"": 12, ""against"": ""Stone Defenses""}, {""amount"": 10, ""against"": ""Walls""}, {""amount"": 10, ""against"": ""Gates""}]",,,7,100,0,tarkan,Military,Cavalry;Unique Unit,The Conquerors
Elite Teutonic Knight,Teutonic unique infantry unit. Slow and powerful. Strong vs. melee units. Weak vs. archers and Scorpions.,Imperial,Castle,"{""Food"": 85,""Gold"": 30}",12,2,0,0.7,5,100,0,0,17,10,2,"[{""amount"": 4, ""against"": ""Eagles""}, {""amount"": 4, ""against"": ""Buildings""}]",,,3,100,0,teutonic-knight,Military,Infantry;Unique Unit,Age of Kings
Elite Throwing Axeman,Frankish unique infantry unit with ranged melee attack. Strong vs. infantry. Weak vs. archers and siege weapons.,Imperial,Castle,"{""Food"": 55,""Gold"": 25}",17,2,0.8,1,6,70,0,4,8,1,0,"[{""amount"": 2, ""against"": ""Eagles""}, {""amount"": 2, ""against"": ""Buildings""}]",,,6,100,0,throwing-axeman,Military,Infantry;Unique Unit,Age of Kings
Elite Turtle Ship,Korean unique ship. Slow and ironclad. Strong vs. warships and buildings.,Imperial,Dock,"{""Wood"": 200,""Gold"": 200}",50,6,0,0.9,8,300,0,7,50,8,6,,"[{""amount"": 11, ""against"": ""Ships""}]",,8,100,0.5,turtle-ship,Navy,Ship;Turtle Ship;Gunpowder Unit;Unique Unit,The Conquerors
Elite Urumi Swordsman,"An infantry unit that charges its attack over a period of time, dealing increased damage on its first attack against an enemy unit, the charged attacks also do trample damage, but not regular attacks.",Imperial,Castle,"{""Food"": 65,""Gold"": 20}",9,2,0,1.05,3,65,0,0,10,1,0,"[{""amount"": 3, ""against"": ""Eagles""}, {""amount"": 2, ""against"": ""Buildings""}]",,"Charges its attack by +12 (+15 Elite) over 24 (20 Elite) seconds, dealing a blast attack of 50% strength in 0.75 tiles radius",0,100,0,urumi-swordsman,Military,Infantry;Unique Unit,Dynasties of India
Elite War Elephant,Persian unique unit. Slow and powerful cavalry. Strong vs. buildings and units at close range. Weak vs. Monks.,Imperial,Castle,"{""Food"": 200,""Gold"": 75}",31,2,0,0.8,8,600,0,0,20,1,3,"[{""amount"": 30, ""against"": ""Standard Buildings""}, {""amount"": 30, ""against"": ""Stone Buildings""}]",,,4,100,0.5,war-elephant,Military,Cavalry;War Elephant;Unique Unit,Age of Kings
Elite War Wagon,"Korean unique cavalry archer unit. Strong vs. infantry and archers. Weak vs. Pikemen, Skirmishers, and Camel Riders.",Imperial,Castle,"{""Wood"": 200,""Gold"": 60}",25,2.5,1,1.2,8,200,0,5,9,0,4,"[{""amount"": 5, ""against"": ""Buildings""}]",,,7,100,0,war-wagon,Military,Archer;Cavalry Archer;Cavalry;Unique Unit,The Conquerors
Elite Woad Raider,Celtic unique infantry unit. Fast-moving. Strong vs. infantry and siege weapons. Weak vs. archers and cavalry.,Imperial,Castle,"{""Food"": 65,""Gold"": 25}",10,2,0,1.2,5,85,0,0,14,0,1,"[{""amount"": 3, ""against"": ""Eagles""}, {""amount"": 3, ""against"": ""Buildings""}]",,,3,100,0,woad-raider,Military,Infantry;Unique Unit,Age of Kings
Fast Fire Ship,Warship that spews fire at close range. Strong vs. War Galleys. Weak vs. Demolition Ships.,Imperial,Dock,"{""Wood"": 75,""Gold"": 45}",36,0.25,0,1.43,6,140,0,2,3,0,8,"[{""amount"": 3, ""against"": ""Buildings""}, {""amount"": 4, ""against"": ""Camels""}, {""amount"": 1, ""against"": ""Melee""}, {""amount"": 4, ""against"": ""Ships""}, {""amount"": 3, ""against"": ""Turtle Ships""}]","[{""amount"": 7, ""against"": ""Camel""}, {""amount"": 7, ""against"": ""Ships""}]",,6,100,0,fast-fire-ship,Navy,Ship,Age of Kings
Fire Ship,Warship that spews fire at close range. Strong vs. War Galleys. Weak vs. Demolition Ships.,Castle,Dock,"{""Wood"": 75,""Gold"": 45}",36,0.25,0,1.35,5,120,0,2,2,0,6,"[{""amount"": 2, ""against"": ""Buildings""}, {""amount"": 3, ""against"": ""Camels""}, {""amount"": 1, ""against"": ""Melee""}, {""amount"": 3, ""against"": ""Ships""}, {""amount"": 2, ""against"": ""Turtle Ships""}]","[{""amount"": 5, ""against"": ""Camel""}, {""amount"": 5, ""against"": ""Ships""}]",,5,100,0,fire-ship,Navy,Ship,Age of Kings
Fishing Ship,Gathers food from fish and Fish Traps. Builds Fish Traps.,Dark,Dock,"{""Wood"": 75}",40,0,0,1.26,5,60,0,0,0,0,6,,,,12,100,0,fishing-ship,Navy,Fishing Ship,Age of Kings
Flamethrower,Siege weapon that spews fire at close range. Strong vs. buildings and melee units. Weak vs. archers at long range.,N/A,N/A,,N/A,0.25,0,0.6,7,160,0,5,4,2,2,,,,7,75,0,flamethrower,Unbuildable,Siege Weapon,Age of Empires II HD: The Forgotten
Flaming Camel,Demolition camel armed with inflammable hay. Strong vs. buildings and siege units. Weak vs. archers at long range. Self-destructs when used.,Imperial,Castle,"{""Food"": 75,""Gold"": 30}",20,5,0,1.2,4,100,0,0,50,0,2,,,,4,100,0.5,flaming-camel,Military,Unique Unit;Camel,Definitive Edition
Flemish Militia,Burgundian unique infantry unit. Strong vs. cavalry. Weak vs. archers.<,Imperial,Barracks,"{""Food"": 50,""Gold"": 15}",14,2,0,0.9,7,60,0,0,11,1,0,"[{""amount"": 2, ""against"": ""Eagle Warrior""}, {""amount"": 8, ""against"": ""Cavalry""}, {""amount"": 6, ""against"": ""Camel""}, {""amount"": 6, ""against"": ""Fishing Ship""}, {""amount"": 6, ""against"": ""Ship""}, {""amount"": 40, ""against"": ""Siege""}, {""amount"": 8, ""against"": ""War Elephant""}]",,,-1,100,0,flemish-militia,Military,Infantry;Unique Unit,Lords of the West
Furious The Monkey Boy,Cheat unit.,N/A,N/A,,N/A,0.9,0,0.99,12,9,0,0,99,99,99,,,,12,100,0,furious-the-monkey-boy,Cheat,None,Age of Kings
Galleon,All-purpose warship with ranged attack. Weak vs. Fire Ships.,Imperial,Dock,"{""Wood"": 90,""Gold"": 30}",36,3,0,1.43,9,165,0,7,8,0,8,"[{""amount"": 8, ""against"": ""Buildings""}, {""amount"": 11, ""against"": ""Camels""}, {""amount"": 4, ""against"": ""Rams""}, {""amount"": 11, ""against"": ""Ships""}]",,,9,100,0,galleon,Navy,Ship,Age of Kings
Galley,All-purpose warship with ranged attack. Weak vs. Fire Galleys.,Feudal,Dock,"{""Wood"": 90,""Gold"": 30}",60,3,0,1.43,7,120,0,5,6,0,6,"[{""amount"": 6, ""against"": ""Buildings""}, {""amount"": 8, ""against"": ""Camels""}, {""amount"": 3, ""against"": ""Rams""}, {""amount"": 8, ""against"": ""Ships""}]",,,7,100,0,galley,Navy,Ship,Age of Kings
Gbeto,Malian unique infantry unit with ranged melee attack. Fast-moving. Strong vs. infantry. Weak vs. archers and siege weapons.,Castle,Castle,"{""Food"": 50,""Gold"": 40}",17,2,0,1.25,6,40,0,5,10,0,0,,,,6,100,0,gbeto,Military,Infantry;Unique Unit,Age of Kings
Genitour,Mounted skirmisher. Strong vs. archers. Weak vs. units at close range. Trainable by Berbers and their allies.,Castle,Archery Range,"{""Food"": 50,""Wood"": 35}",25,3,0,1.35,5,50,1,4,3,0,4,"[{""amount"": 4, ""against"": ""Archer""}, {""amount"": 3, ""against"": ""Spearmen""}]",,,5,90,0,genitour,Military,Archer;Cavalry Archer;Cavalry;Unique Unit,Definitive Edition
Genoese Crossbowman,Italian unique unit. Foot archer with an attack bonus against cavalry.,Castle,Castle,"{""Wood"": 45,""Gold"": 45}",14,2,0.4,0.96,8,45,0,4,6,1,0,"[{""amount"": 4, ""against"": ""Camel""}, {""amount"": 5, ""against"": ""Cavalry""}, {""amount"": 4, ""against"": ""Fishing Ships""}, {""amount"": 4, ""against"": ""Ships""}, {""amount"": 5, ""against"": ""War Elephant""}]",,,6,100,0,genoese-crossbowman,Military,Archer;Unique Unit,The Forgotten
Ghulam,Fast infantry with high pierce armor. Thrusts its spear through multiple targetsm dealing 50% damage to units 1 tile behind the target,Castle,Archery Range,"{""Food"": 30,""Gold"": 45}",12,2,0,1.15,6,60,0,0,9,0,3,"[{""amount"": 5, ""against"": ""Archers""}, {""amount"": 2, ""against"": ""Eagle Warrior""}, {""amount"": 2, ""against"": ""Standard Buildings""}]",,Attacks damage up to 1 additional unit behind the target within 1 tile range for 50% of attack damage,-1,100,1,ghulam,Military,Infantry;Unique Unit,Dynasties of India
Goat,Gaia unit.,N/A,N/A,,N/A,0,0,0.7,3,7,0,0,0,0,0,,,Provides 100 food,4,100,0,goat,Gaia,None,Age of Kings
Goose,Gaia unit.,N/A,N/A,,N/A,0,0,0.7,3,7,0,0,0,0,0,,,,4,0,0,goose,Gaia,None,Age of Kings
Halberdier,"Anti-cavalry infantry unit. Strong vs. mounted units, especially elephants. Weak vs. archers and infantry.",Imperial,Barracks,"{""Food"": 35,""Wood"": 25}",22,3,0,1,4,60,0,0,6,0,0,"[{""amount"": 1, ""against"": ""Buildings""}, {""amount"": 1, ""against"": ""Eagles""}, {""amount"": 32, ""against"": ""Cavalry""}, {""amount"": 16, ""against"": ""Camels""}, {""amount"": 16, ""against"": ""Ships""}, {""amount"": 60, ""against"": ""War Elephants""}]",,,5,100,0,halberdier,Military,Infantry;Spearman,The Conquerors
Hand Cannoneer,"Gunpowder unit with powerful attack, but inaccurate at long range. Strong vs. infantry. Weak vs. Elite Skirmishers and archers.",Imperial,Archery Range,"{""Food"": 45,""Gold"": 50}",34,3.45,0.45,0.96,9,35,0,7,17,1,0,"[{""amount"": 10, ""against"": ""Infantry""}, {""amount"": 2, ""against"": ""Rams""}, {""amount"": 1, ""against"": ""Spearmen""}]",,,9,65,0,hand-cannoneer,Military,Archer;Gunpowder Unit,Age of Kings
Heavy Camel Rider,"Fast anti-cavalry unit. Strong vs. cavalry. Weak vs. Pikemen, Monks, and archers. (not classified as cavalry)",Imperial,Stable,"{""Food"": 55,""Gold"": 60}",22,2,0,1.45,5,120,0,0,7,0,0,"[{""amount"": 18, ""against"": ""Cavalry""}, {""amount"": 9, ""against"": ""Ships""}, {""amount"": 9, ""against"": ""Camels""}]",,,4,100,0,heavy-camel-rider,Military,Camel,Age of Kings
Heavy Cavalry Archer,Mounted archer. Strong vs. slow units at long range. Weak vs. Elite Skirmishers and units at close range.,Imperial,Archery Range,"{""Wood"": 40,""Gold"": 70}",27,2,1,1.4,6,60,0,4,7,1,0,"[{""amount"": 4, ""against"": ""Spearmen""}]",,,6,50,0,heavy-cavalry-archer,Military,Archer;Cavalry Archer;Cavalry,Age of Kings
Heavy Demolition Ship,Demolition ship armed with explosives. Strong vs. Fire Ships and buildings. Self-destructs when used.,Imperial,Dock,"{""Wood"": 70,""Gold"": 50}",31,5,0,1.6,6,70,0,0,140,0,5,"[{""amount"": 280, ""against"": ""Buildings""}]","[{""amount"": 5, ""against"": ""Camel""}, {""amount"": 5, ""against"": ""Ships""}]",,5,100,3.5,heavy-demolition-ship,Navy,Ship,Age of Kings
Heavy Pikeman,"Anti-cavalry infantry unit. Strong vs. mounted units, especially elephants. Weak vs. archers and infantry.",N/A,N/A,,N/A,3,0,1,4,75,0,0,4,0,0,,,,4,100,0,heavy-pikeman,Unbuildable,Infantry;Spearman,Age of Empires II HD: The Forgotten
Heavy Scorpion,Anti-unit siege weapon. Fires bolts that pierce multiple units. Strong vs. large groups of units. Weak vs. cavalry and siege weapons.,Imperial,Siege Workshop,"{""Wood"": 75,""Gold"": 75}",30,3.6,0.21,0.65,9,55,2,7,16,0,7,"[{""amount"": 4, ""against"": ""Buildings""}, {""amount"": 2, ""against"": ""Rams""}, {""amount"": 8, ""against"": ""War Elephant""}]",,,9,100,0,heavy-scorpion,Military,Siege Weapon,Age of Kings
Horse,Can be used as scout,Dark,N/A,,0,0,0,1.2,2,50,0,0,0,0,0,,,,0,100,0,horse,Gaia,None,Age of Kings
Houfnice,Bohemian unique siege unit. Siege weapon with long range. Strong vs. buildings and siege weapons. Weak vs. melee units.,Imperial,Siege Workshop,"{""Wood"": 225,""Gold"": 225}",56,6.5,0.21,0.7,14,90,0,12,50,2,6,"[{""amount"": 250, ""against"": ""Buildings""}, {""amount"": 50, ""against"": ""Hussite Wagon""}, {""amount"": 50, ""against"": ""Fishing Ship""}, {""amount"": 50, ""against"": ""Ship""}, {""amount"": 40, ""against"": ""Siege""}, {""amount"": 40, ""against"": ""Stone Defenses""}]",,,-1,100,0.7,houfnice,Military,Siege Weapon;Gunpowder Unit,Dawn of the Dukes
Huskarl,Gothic unique infantry unit with high pierce armor. Strong vs. archers and buildings. Weak vs. cavalry.,Castle,Castle,"{""Food"": 52,""Gold"": 26}",16,2,0,1.05,3,60,0,0,10,0,6,"[{""amount"": 6, ""against"": ""Archers""}, {""amount"": 2, ""against"": ""Buildings""}, {""amount"": 2, ""against"": ""Eagles""}, {""amount"": 6, ""against"": ""Hand Cannoneers""}]",,,3,100,0,huskarl,Military,Infantry;Unique Unit,Age of Kings
Hussar,Fast cavalry for scouting and raiding. Resistant to conversion. Strong vs. Monks. Weak vs. Pikemen and Camel Riders.,Imperial,Stable,"{""Food"": 80}",30,1.9,0,1.5,4,75,0,0,7,0,2,"[{""amount"": 12, ""against"": ""Monks""}]",,,4,100,0,hussar,Military,Cavalry,The Conquerors
Hussite Wagon,Bohemian unique siege unit. Units behind it receive 50% less damage from incoming projectiles. Strong vs. archers. Weak vs. siege weapons.,Castle,Castle,"{""Wood"": 110,""Gold"": 70}",21,3.45,0.93,0.8,8,200,0,6,17,0,7,"[{""amount"": 3, ""against"": ""Rams""}, {""amount"": 1, ""against"": ""Buildings""}]",,,-1,85,0,hussite-wagon,Military,Siege Weapon;Gunpowder Unit;Unique Unit;Hussite Wagon,Dawn of the Dukes
Imperial Camel Rider,"Fast anti-cavalry unit. Strong vs. cavalry. Weak vs. Pikemen, Monks, and archers.",Imperial,Stable,"{""Food"": 55,""Gold"": 60}",20,2,0,1.45,5,140,0,0,9,0,0,,,,4,100,0,imperial-camel-rider,Military,Camel,Age of Empires II HD: The Forgotten
Imperial Skirmisher,Ranged anti-archer unit that cannot attack at close range. Strong vs. archers. Weak vs. units at close range. Trainable by Vietnamese and their allies.,Imperial,Archery Range,"{""Food"": 25,""Wood"": 35}",22,3,0,0.96,7,35,1,5,4,0,5,"[{""amount"": 5, ""against"": ""Archers""}, {""amount"": 3, ""against"": ""Cavalry Archers""}, {""amount"": 4, ""against"": ""Spearmen""}]",,,7,95,0,imperial-skirmisher,Military,Archer,Age of Empires II HD: Rise of the Rajas
Iroquois Warrior,Exceptionally quick infantry. Strong vs. buildings.,N/A,N/A,,N/A,2,0,1.2,3,65,0,0,8,0,1,,,,3,100,0,iroquois-warrior,Unbuildable,Infantry,Definitive Edition
Jaguar,Wild jaguar. Same as wolf on yucatan and other americas maps,Dark,N/A,,0,2,0,1.05,12,25,0,0,3,0,0,,,Provides no food,0,100,0,jaguar,Gaia,None,Age of Kings
Jaguar Warrior,Aztec unique infantry unit. Strong vs. infantry. Weak vs. cavalry and archers.,Castle,Castle,"{""Food"": 60,""Gold"": 30}",17,2,0,1,3,50,0,0,10,1,1,"[{""amount"": 12, ""against"": ""Eagles""}, {""amount"": 2, ""against"": ""Buildings""}, {""amount"": 10, ""against"": ""Infantry""}]",,,3,100,0,jaguar-warrior,Military,Infantry;Unique Unit,The Conquerors
Janissary,Turkish unique hand cannoneer with longer range and no minimum range. Strong vs. infantry. Weak vs. archers.,Castle,Castle,"{""Food"": 60,""Gold"": 55}",17,3.45,0.28,0.96,10,44,0,7,17,1,0,"[{""amount"": 2, ""against"": ""Rams""}]",,,10,50,0,janissary,Military,Archer;Gunpowder Unit;Unique Unit,Age of Kings
Junk,"Trade unit used for generating gold at another player's Dock. To trade, click the Junk then right-click another player's Dock. Will return with gold to your Dock.",Dark,Dock,,N/A,0,0,1.21,7,75,0,0,0,0,0,,,,-1,100,0,junk,Unbuildable,None,Age of Kings
Kamayuk,Japanese unique infantry unit with fast attack. Strong vs. unique units and infantry. Weak vs. archers.,Castle,Castle,"{""Food"": 60,""Gold"": 30}",10,2,0,1,4,60,0,1,7,0,0,,,,4,100,0,kamayuk,Military,Infantry;Unique Unit,The Conquerors
Karambit Warrior,Malay unique infantry unit. Cheap and only takes half a population unit. Strong in high numbers. Weak vs. cavalry and archers.,Castle,Castle,"{""Food"": 30,""Gold"": 15}",6,2,0,1.2,3,30,0,0,6,0,1,,,,3,100,0,karambit-warrior,Military,Infantry;Unique Unit,The Conquerors
Keshik,Tatar unique cavalry unit that generates 0.3625 gold per second when attacking enemy units.,Castle,Castle,"{""Food"": 50,""Gold"": 40}",17,1.9,0,1.4,5,110,0,0,9,1,2,,,Generates 0.3625 gold per second when attacking enemy units,4,100,0,keshik,Military,Cavalry;Unique Unit,Definitive Edition
King,Cannot be produced so the cost and build time just for the sake of interest,Dark,Castle,"{""Food"": 50}",30,0,0,1.32,6,75,0,0,0,0,0,,,,6,100,0,king,Military,None,Age of Kings
Kipchak,"Cuman unique cavalry archer with rapid-fire attack. Fires three (four when Elite) arrows at once. First arrow deals full damage, other arrows deal 1 pierce and 0 melee damage. Strong vs. infantry. Weak vs. Skirmishers.",Castle,Stable,"{""Wood"": 60,""Gold"": 35}",20,2.2,0,1.4,6,40,0,4,4,0,0,,,,5,90,0,kipchak,Military,Archer;Cavalry Archer;Cavalry;Unique Unit,Definitive Edition
Knight,"Powerful all-purpose cavalry. Strong vs. infantry and archers. Weak vs. Pikemen, Camel Riders, and Monks.",Castle,Stable,"{""Food"": 60,""Gold"": 75}",30,1.8,0,1.35,4,100,0,0,10,2,2,,,,4,100,0,knight,Military,Cavalry,Age of Kings
Komodo Dragon,Gaia unit.,N/A,N/A,,N/A,2,0,0.7,12,25,0,0,3,0,0,,,Provides no food,12,100,0,komodo-dragon,Gaia,None,Age of Empires III: The Asian Dynasties
Konnik,Bulgarian unique cavalry unit that fights on as infantry when felled. Strong vs. infantry and archers. Weak vs. Camel Riders and Monks.,Castle,Stable,"{""Food"": 60,""Gold"": 70}",19,2.4,0,1.35,5,100,0,0,12,2,1,,,Turns into a(n) (Elite) Dismounted Konnik upon death,4,100,0,konnik,Military,Cavalry;Unique Unit,Definitive Edition
Konnik (Dismounted),Bulgarian unique cavalry unit that fights on as infantry when felled. Strong vs. infantry and archers. Weak vs. Camel Riders and Monks.,Castle,N/A,{},N/A,2.4,0,0.9,3,45,0,0,12,2,1,"[{""amount"": 4, ""against"": ""Standard Buildings""}]",,,-1,100,0,konnik-dismounted,Military,Infantry;Unique Unit,Definitive Edition
Legionary,"Roman Unique Infantry Unit, replaces Two-Handed Swordsman/Champion at the Barracks. Has additional bonus damage vs Infantry.",Imperial,Barracks,"{""Food"": 60,""Gold"": 20}",21,2,0,0.9,5,75,0,0,12,2,2,"[{""amount"": 8, ""against"": ""Eagle Warrior""}, {""amount"": 4, ""against"": ""Condottiero""}, {""amount"": 4, ""against"": ""Infantry""}, {""amount"": 4, ""against"": ""Standard Buildings""}]",,,5,100,0,legionary,Military,Infantry,Return to Rome
